City,Name,Address,Website,Number,Operating days/hours,Languages,Services Provided,Payments Accepted,Service Area,Requirements,Other
"Dacula, GA","Northeast Georgia Health System - Dacula","852 Dacula Rd.,  Dacula, GA, 30019 ",https://www.nghs.com/,770-848-9380,"Monday        8:00 AM - 8:00 PM
Tuesday        8:00 AM - 8:00 PM
Wednesday        8:00 AM - 8:00 PM
Thursday        8:00 AM - 8:00 PM
Friday                8:00 AM - 8:00 PM
Saturday        8:00 AM - 8:00 PM
Sunday	8:00 AM - 8:00 PM","English, Spanish","Bariatric Weight Loss, Behavioral Health, Cancer, Diabetes, Emergency & Unplanned Care, Endoscopy, Heart & Vascular, Home Health, Hospice, Imaging/Radiology, Laboratory Services, Long Term Care, Neurosciences, Orthopedics, Occupational Medicine, Pain Medicine, Palliative Care, Pulmonary Rehabilitation, Rehabilitation, Sleep Disorders Center, Substance Abuse Treatment, Surgery, Trauma, Urgent Care, Women & Children, Wound Healing Center.","Medicaid, Medicare, Self Pay",,,
"Duluth, GA","Bethel Eyecare","2148 Duluth Hwy., #102, Duluth, GA, 30097",https://www.betheleyegroup.com/,770-817-3990,"Monday	9:00 AM - 6:00 PM
Tuesday	9:00 AM - 6:00 PM
Wednesday	9:00 AM - 6:00 PM
Thursday	9:00 AM - 6:00 PM
Friday		9:00 AM - 6:00 PM
Saturday	10:00 AM - 3:00 PM",English,"Vision care, Eye exams","Medicaid, Medicare, PeachCare, Self Pay",,,
,Elevate Your Life Professional Counseling and Coaching,"2805 Peachtree Industrial Blvd Suite 115, Duluth, GA, 30097",https://www.eylcounseling.com/,770-513-2279,"Monday        By Appointment 
Tuesday        By Appointment 
Wednesday        By Appointment 
Thursday        By Appointment 
Friday                By Appointment ",English,"Mental Health Counseling - Providing individual, couples and family counseling.
",Sliding Scale Fee ,,,
,MyEyeDr.,"6555 Sugarloaf Pkwy., Suite #305, Duluth, GA, 30097",https://locations.myeyedr.com/ga/duluth/6555-sugarloaf-pkwy,770-495-0937,"Monday	9:00 AM - 6:00 PM
Tuesday	9:00 AM - 6:00 PM
Wednesday	9:00 AM - 6:00 PM
Thursday	9:00 AM - 6:00 PM
Friday		9:00 AM - 6:00 PM
Saturday	9:00 AM - 4:00 PM",English,"Vision care, Eye exams","Medicaid, Medicare, Uninsured/Underinsured, Self Pay",,,
"Suwanee, GA","EyeBelieve Eyecare & Optical","1295 Old Peachtree Rd. NW #160, Suwanee, GA, 30024 ",https://www.eyebelieveoptical.com/insurance-payments.html,770-545-8401,"Monday        10:00 AM - 5:00 PM
Tuesday        10:00 AM - 5:00 PM
Wednesday    10:00 AM - 5:00 PM
Thursday        10:00 AM - 5:00 PM
Friday             10:00 AM - 5:00 PM
Saturday        9:00 AM - 5:00 PM
",English,"Vision care, Eye exams","Medicare, Self Pay
",,,
,Suwanee Family Dentistry,"2566 Lawrenceville-Suwanee Rd, Suwanee, GA, 30024",https://www.suwaneefamilydentistry.com/,678-714-2380,"Monday	7:30 AM - 5:00 PM
Tuesday	7:30 AM - 5:00 PM
Wednesday	7:30 AM - 5:00 PM
Thursday	7:30 AM - 5:00 PM
Friday		7:30 AM - 1:30 PM
",English,Dental Care (Adult & Pediatric),Self Pay,"Suwanee, Lawrenceville, Buford, Duluth, and Dacula",,
,"U & M Family Eyecare","2014 Lawrenceville-Suwanee Rd, Suwanee, GA, 30024 ",https://www.umeyecare.com/insurances,678-649-2020,"Monday 8:00AM-12:00PM & 1:00-5:00PM
Tuesday 8:00AM-12:00PM & 1:00-5:00PM
Wednesday 8:00AM-12:00PM & 1:00-5:00PM
Thursday 8:00AM-12:00PM & 1:00-5:00PM
Friday 8:00AM-12:00PM & 1:00-5:00PM
Saturday 8:00 AM - 1:00 PM
",English,"Vision care, Eye exams","Medicaid, Medicare, PeachCare, Self Pay",,,
,"Autumn Leaves Sugarloaf-Assisted Living 
","1475 Satellite Blvd., Suwanee, GA, 30024",https://autumnleaves.com/sugarloaf-centenarian-horace/,678-990-4580 ,"Monday	By Appointment 
Tuesday	By Appointment 
Wednesday	By Appointment 
Thursday	By Appointment 
Friday	By Appointment 
",English,"Senior assisted living/memory care "," Sliding Scale Fee 
",,,
"Lawernceville, GA","AMA Dental Care","3370 Sugarloaf Pkwy., Suite G8, Lawrenceville, GA, 30044 ",https://www.amadentalcare.com/,770-696-2878,"Monday	9:00 AM - 5:00 PM
Tuesday	9:00 AM - 5:00 PM
Wednesday	9:00 AM - 5:00 PM
Thursday	9:00 AM - 5:00 PM
Friday		9:00 AM - 5:00 PM
Saturday	9:00 AM - 2:00 PM","Creole, English and French
",Dental Care (Adult & Pediatric),"Uninsured/Underinsured, Self Pay
",,,
,Brookwood Eyecare,"3370 Sugarloaf Pkwy. B-3, Lawrenceville, GA, 30044",https://www.brookwoodeyes.com/,770-736-7774,"Monday    10:00 AM - 6:00 PM
Tuesday   10:00 AM - 6:00 PM
Wednesday  10:00 AM - 6:00 PM
Friday          10:00 AM - 6:00 PM
Saturday     12:00 PM - 6:00 PM
",English,"Vision care, Eye exams
","Medicaid, Medicare, PeachCare, Self Pay",,,
